Timestamp,SR.No,Text,Username,Platform,Hashtags,Retweets,Likes,Country,Sentiment_score,Sentiment
2023-01-15 12:30:00,1, Enjoying a beautiful day at the park!              , User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,0.8221,Positive
2023-01-15 08:45:00,2, Traffic was terrible this morning.                 , CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,-0.4767,Negative
2023-01-15 15:45:00,3, Just finished an amazing workout! 💪               , FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,0.6239,Positive
2023-01-15 18:20:00,4, Excited about the upcoming weekend getaway!        , AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,0.4003,Positive
2023-01-15 19:55:00,5, Trying out a new recipe for dinner tonight.        , ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,0.0,Neutral
2023-01-16 09:10:00,6, Feeling grateful for the little things in life.    , GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,0.5423,Positive
2023-01-16 14:45:00,7, Rainy days call for cozy blankets and hot cocoa.   , RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,-0.0772,Negative
2023-01-16 19:30:00,8, The new movie release is a must-watch!             , MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,0.0,Neutral
2023-01-17 08:00:00,9, Political discussions heating up on the timeline.  , DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,0.0,Neutral
2023-01-17 12:20:00,10, Missing summer vibes and beach days.               , BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,-0.296,Negative
2023-01-17 15:15:00,11, Just published a new blog post. Check it out!      , BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,0.0,Neutral
2023-01-18 10:30:00,12, Feeling a bit under the weather today.             , WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,0.128,Positive
2023-01-18 14:50:00,13, Exploring the city's hidden gems.                  , UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,0.0,Neutral
