Timestamp,SR.No,Text,Sentiment,Username,Platform,Hashtags,Retweets,Likes,Country,Sentiment_score
2023-01-15 12:30:00,1, Enjoying a beautiful day at the park!              ,Positive, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,0.8221
2023-01-15 08:45:00,2, Traffic was terrible this morning.                 ,Negative, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,-0.4767
2023-01-15 15:45:00,3, Just finished an amazing workout! 💪               ,Positive, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,0.6239
2023-01-15 18:20:00,4, Excited about the upcoming weekend getaway!        ,Positive, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,0.4003
2023-01-15 19:55:00,5, Trying out a new recipe for dinner tonight.        ,Neutral, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,0.0
2023-01-16 09:10:00,6, Feeling grateful for the little things in life.    ,Positive, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,0.5423
2023-01-16 14:45:00,7, Rainy days call for cozy blankets and hot cocoa.   ,Negative, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,-0.0772
2023-01-16 19:30:00,8, The new movie release is a must-watch!             ,Neutral, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,0.0
2023-01-17 08:00:00,9, Political discussions heating up on the timeline.  ,Neutral, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,0.0
2023-01-17 12:20:00,10, Missing summer vibes and beach days.               ,Negative, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,-0.296
2023-01-17 15:15:00,11, Just published a new blog post. Check it out!      ,Neutral, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,0.0
2023-01-18 10:30:00,12, Feeling a bit under the weather today.             ,Positive, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,0.128
2023-01-18 14:50:00,13, Exploring the city's hidden gems.                  ,Neutral, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,0.0
2023-01-18 18:00:00,14," New year, new fitness goals! 💪                    ",Positive, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,0.3382
2023-01-19 09:45:00,15, Technology is changing the way we live.            ,Neutral, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,0.0
2023-01-19 13:20:00,16, Reflecting on the past and looking ahead.          ,Neutral, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,0.0
2023-01-19 17:10:00,17, Just adopted a cute furry friend! 🐾              ,Positive, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,0.7574
2023-01-20 00:05:00,18, Late-night gaming session with friends.            ,Positive, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,0.4767
2023-01-20 11:30:00,19, Attending a virtual conference on AI.              ,Neutral, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,0.0
2023-01-20 15:15:00,20, Winter blues got me feeling low.                   ,Negative, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,-0.1531
2023-01-21 08:40:00,21, Sipping coffee and enjoying a good book.           ,Positive, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,0.743
2023-01-21 13:20:00,22, Exploring the world of virtual reality.            ,Neutral, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,0.0
2023-01-21 16:45:00,23, Productive day ticking off my to-do list.          ,Neutral, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,0.0
2023-01-22 09:15:00,24, Just finished a challenging workout routine.       ,Positive, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,0.1531
2023-01-22 14:30:00,25, Celebrating a milestone at work! 🎉               ,Positive, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,0.6114
2023-01-22 12:00:00,27, Sunday brunch with friends.                        ,Positive, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,0.4767
2023-01-23 16:20:00,28, Learning a new language for personal growth.       ,Positive, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,0.3818
2023-01-23 19:45:00,29, Quiet evening with a good book.                    ,Positive, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,0.4404
2023-01-24 11:30:00,30, Reflecting on the importance of mental health.     ,Positive, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,0.3612
2023-01-24 15:00:00,31, New painting in progress! 🎨                       ,Positive, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,0.4753
2023-01-24 17:30:00,32, Weekend road trip to explore scenic views.         ,Neutral, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,0.0
2023-01-25 18:00:00,33, Enjoying a cup of tea and watching the sunset.     ,Positive, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,0.5267
2023-01-25 13:15:00,34, Coding a new project with enthusiasm.              ,Positive, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,0.4404
2023-01-26 09:45:00,35, Feeling inspired after attending a workshop.       ,Positive, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,0.5719
2023-01-26 14:20:00,36, Winter sports day at the local park.               ,Neutral, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,0.0
2023-01-26 17:40:00,37, Quality time with family this weekend.             ,Neutral, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,0.0
2023-01-27 20:00:00,38, Attending a live music concert tonight.            ,Neutral, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,0.0
2023-01-27 12:30:00,39, Practicing mindfulness with meditation.            ,Neutral, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,0.0
2023-01-27 16:10:00,40, Trying out a new dessert recipe.                   ,Neutral, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,0.0
2023-01-28 09:00:00,41, Excited about the upcoming gaming tournament.      ,Positive, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,0.34
2023-01-28 14:45:00,42, Planning a garden makeover for spring.             ,Neutral, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,0.0
2023-01-28 19:30:00,43, Celebrating a friend's birthday tonight! 🎂       ,Positive, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,0.6114
2023-01-29 17:00:00,44, Feeling accomplished after a productive day.       ,Positive, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,0.5267
2023-01-29 20:20:00,45, A cozy evening with a good movie.                 ,Positive, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,0.4404
2023-01-30 11:30:00,46, Exploring local art galleries this weekend.        ,Neutral, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,0.0
