SR.No,text,Timestamp,Username,Platform,Hashtags,Retweets,Likes,Country,preprocessed_text,sentiment_score,sentiment_label
1, Enjoying a beautiful day at the park!              ,15-01-2023 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,enjoying beautiful day park,0.8221,Positive
2, Traffic was terrible this morning.                 ,15-01-2023 08:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,traffic terrible morning,-0.4767,Negative
3, Just finished an amazing workout! 💪               ,15-01-2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,finished amazing workout 💪,0.6239,Positive
4, Excited about the upcoming weekend getaway!        ,15-01-2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,excited upcoming weekend getaway,0.4003,Positive
5, Trying out a new recipe for dinner tonight.        ,15-01-2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,trying new recipe dinner tonight,0.0,Neutral
6, Feeling grateful for the little things in life.    ,16-01-2023 09:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,feeling grateful little things life,0.5423,Positive
7, Rainy days call for cozy blankets and hot cocoa.   ,16-01-2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,rainy days call cozy blankets hot cocoa,-0.0772,Negative
8, The new movie release is a must-watch!             ,16-01-2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,new movie release must-watch,0.0,Neutral
9, Political discussions heating up on the timeline.  ,17-01-2023 08:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,political discussions heating timeline,0.0,Neutral
10, Missing summer vibes and beach days.               ,17-01-2023 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,missing summer vibes beach days,-0.296,Negative
11, Just published a new blog post. Check it out!      ,17-01-2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,published new blog post check,0.0,Neutral
12, Feeling a bit under the weather today.             ,18-01-2023 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,feeling bit weather today,0.128,Positive
13, Exploring the city's hidden gems.                  ,18-01-2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,exploring city 's hidden gems,0.0,Neutral
14," New year, new fitness goals! 💪                    ",18-01-2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,new year new fitness goals 💪,0.3382,Positive
15, Technology is changing the way we live.            ,19-01-2023 09:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,technology changing way live,0.0,Neutral
16, Reflecting on the past and looking ahead.          ,19-01-2023 13:20, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,reflecting past looking ahead,0.0,Neutral
17, Just adopted a cute furry friend! 🐾              ,19-01-2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,adopted cute furry friend 🐾,0.7574,Positive
18, Late-night gaming session with friends.            ,20-01-2023 00:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,late-night gaming session friends,0.4767,Positive
19, Attending a virtual conference on AI.              ,20-01-2023 11:30, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,attending virtual conference ai,0.0,Neutral
20, Winter blues got me feeling low.                   ,20-01-2023 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,winter blues got feeling low,-0.1531,Negative
21, Sipping coffee and enjoying a good book.           ,21-01-2023 08:40, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,sipping coffee enjoying good book,0.743,Positive
22, Exploring the world of virtual reality.            ,21-01-2023 13:20, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,exploring world virtual reality,0.0,Neutral
23, Productive day ticking off my to-do list.          ,21-01-2023 16:45, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,productive day ticking to-do list,0.0,Neutral
24, Just finished a challenging workout routine.       ,22-01-2023 09:15, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,finished challenging workout routine,0.1531,Positive
25, Celebrating a milestone at work! 🎉               ,22-01-2023 14:30, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,celebrating milestone work 🎉,0.6114,Positive
27, Sunday brunch with friends.                        ,22-01-2023 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,sunday brunch friends,0.4767,Positive
28, Learning a new language for personal growth.       ,23-01-2023 16:20, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,learning new language personal growth,0.3818,Positive
29, Quiet evening with a good book.                    ,23-01-2023 19:45, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,quiet evening good book,0.4404,Positive
30, Reflecting on the importance of mental health.     ,24-01-2023 11:30, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,reflecting importance mental health,0.3612,Positive
31, New painting in progress! 🎨                       ,24-01-2023 15:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,new painting progress 🎨,0.4753,Positive
32, Weekend road trip to explore scenic views.         ,24-01-2023 17:30, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,weekend road trip explore scenic views,0.0,Neutral
33, Enjoying a cup of tea and watching the sunset.     ,25-01-2023 18:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,enjoying cup tea watching sunset,0.5267,Positive
34, Coding a new project with enthusiasm.              ,25-01-2023 13:15, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,coding new project enthusiasm,0.4404,Positive
35, Feeling inspired after attending a workshop.       ,26-01-2023 09:45, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,feeling inspired attending workshop,0.5719,Positive
36, Winter sports day at the local park.               ,26-01-2023 14:20, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,winter sports day local park,0.0,Neutral
37, Quality time with family this weekend.             ,26-01-2023 17:40, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,quality time family weekend,0.0,Neutral
38, Attending a live music concert tonight.            ,27-01-2023 20:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,attending live music concert tonight,0.0,Neutral
39, Practicing mindfulness with meditation.            ,27-01-2023 12:30, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,practicing mindfulness meditation,0.0,Neutral
40, Trying out a new dessert recipe.                   ,27-01-2023 16:10, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,trying new dessert recipe,0.0,Neutral
41, Excited about the upcoming gaming tournament.      ,28-01-2023 09:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,excited upcoming gaming tournament,0.34,Positive
